,text
0,"the company booked april-june new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago ."
1,"lemminkainen infra oy 's subsidiary lemminkainen sverige ab will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 ."
2,"guangdong , october 26 , sinocast -- nokia telecommunications dongguan branch entered into a letter of intent to open a nokia class in qingyuan polytechnic , qingyuan city of guangdong province ."
3,"according to kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel hilton for 120 rooms ."
4,new product launches in finland will more than double from 2005 .
5,"citigroup , inc ( nyse : c ) has announced that its global transaction services ( gts ) business has been awarded a new mandate by finland-based pohjola bank group ."
6,finnish construction company lemminkainen oyj hel : lem1s said yesterday that it would build a plastic film extrusion plant for packaging materials supplier ab rani plast oy at lemminkainen 's kaluga industrial park in russia .
7,rimi supermarket is the key customer in magistral center .
8,the value of the contract is in total usd12m .
9,no financial details were reported .
10,metsa-botnia will sell 82.1 % of its stake in the uruguayan companies and metsaliitto -- 5.5 % .
11,"the third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in ireland ."
12,the agreement with jm is one in a series of contracts that teliasonera has signed in recent months with residential construction and real estate management companies in sweden .
13,the unit is planned to be operational during the second half of 2007 and in full stream in 2008 .
14,alma media expects its net sales to increase as forecast previously .
15,raisio is the site of the main production plants as well as company headquarters .
16,the soapstone deposits in the medvezhyegorsk area are expected to increase tulikivi 's current reserves considerably .
17,"tekla 's software solutions make customers ' core processes more effective in building and construction , energy distribution , infrastructure management and water supply ."
18,"in finland , alma media will focus on quality and developing chain operations ."
19,"aspo plc stock exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part of aspo group , has signed a new , long-term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea ."
20,helsinki ( afx ) - outokumpu said it has agreed to sell the hitura nickel mine in finland to canadian group belvedere resources ltd for 10 mln eur worth of belvedere shares .
21,"baltic pearl cjsc , a subsidiary of shanghai foreign joint investment company , is developing a project in st petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries ."
22,"on january 29 , 2009 the largest nordic bank nordea and finnish retail chain stockmann launched a regionally unique cooperation project : they are the first to introduce a common mastercard credit card enabling payments in different states and stores ."
23,"the number of permanent reductions of clerical workers is 22 employees , of which 19 in finland ."
24,the federal secretary for transport and communication of mexico has awarded poyry and its mexican partner sintra a consulting contract in connection with the buenavista-cuautitlan suburban railway .
25,the finnish company has also reached arrangements regarding the working hours and annual holidays .
26,"these new units will be built at cargotec 's state of the art manufacturing facility in san antonio , texas , usa , which started operations in 2009 ."
27,"the chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year ."
28,sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .
29,"most of the new substations support edge technology , which enables faster data traffic ."
30,"`` our decision and resolve on meego is only stronger , '' she continued ."
31,"as of august 2008 , glaston 's north asian sales and service region is upgraded to a new market area , north asia ."
32,"kesko has about 2,000 stores engaged in chain operations in the nordic and baltic countries , russia , and belarus ."
33,the sale of the healthcare trade business supports oriola-kd 's strategy to focus on pharmaceutical wholesale and retail businesses .
34,"with this , the company will exit the contract manufacturing service segment ."
35,the revenues of the business reached nok 12 million for 2008 .
36,"the largest construction company in finland , yit corporation , is to acquire 70 % of the shares in the slovak construction company reding bratislava ."
37,ramirent finland is the domestic unit of machinery rental company ramirent oyj hel : rmr1v .
38,"the finnish company is building a 800,000 mt-year biodiesel plant in singapore ."
39,juha haapakoski will continue as editor-in-chief with budget responsibility also with the new publisher .
40,the group will expand the chain to include 45 stores .
41,an eu law on the issue may be introduced around 2010 .
42,competition authorities will have to approve the deal before it can be finalized .
43,"in the third quarter of 2007 , net sales totaled eur 25.95 mn , and operating profit eur 3.88 mn ."
44,"with the u.s. federal government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline ."
45,"kaido kaare , general director for atria eesti , says the company 's investments in the upgrade of the pig farms surpass eek 150mn eur 9.59 mn usd 14.19 mn in the past years ."
46,nordea bank has a large share and vast experience in the nordic credit card market .
47,"ixonos estimates that it will hire 20 specialists in mechanical engineering , electronics design , and r&d for its new unit in jyvaeskylae by the end of 2009 ."
48,"thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager juha malkia from vr cargo ."
49,"combined with the basware enterprise purchase to pay portfolio , it provides a high level of automation for procurement and invoice workflows ."
50,"the company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 ."
51,"based on the design of previous handsets , the nokia e72 and nokia e63 this symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through mail for exchange and ibm lotus notes traveler ."
52,- operating profit rose by 26.9 % to eur 105.8 ( 83.4 ) million .
53,"alexandria , va. , dec. 17 -- reijo salovaara , nastola , finland , has developed a veneer cutter ."
54,"apartments of yit home may be purchased in 5 regions of russia , where yit subsidiaries carry out their activities : moscow and moscow region , st. petersburg , ekaterinburg , kazan and rostov-on-don ."
55,"the total value of the project is about eur53m , including the plots that will be transferred to atria ."
56,industry investment is very interested in glaston 's solar energy projects .
57,"participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door altima ."
58,he is a member of the board of numerous com-panies and a shareholder of the boardman ltd board specialist net-work .
59,finnish paints and coatings company tikkurila oyj ( hel : tik1v ) announced today the launch of tikkurila prohouse method for protection of wooden surfaces via treatment with ultra pro waterborne products .
60,"as part of the reorganisation , pohjola insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of october 2008 ."
61,operating profit totaled eur 17.7 mn compared to eur 17.6 mn in the corresponding period in 2007 .
62,"founded in 2000 , bioview automates laboratory tests , especially diagnostic tests for cancer ."
